,price,m2,age,floor,total_room,district_encoded,neighbor_encoded
4181,4075000,110,6,0.5,3,5749051.802409639,4665867.647058823
4182,2345000,91,13,3.0,3,2769582.4657534244,2400588.2352941176
4183,3800000,88,31,0.0,3,16676002.409638554,7801680.541666667
4184,13950000,85,11,1.0,2,18766793.31306991,26454424.778761063
4185,7750000,100,0,5.0,4,7437451.282051282,6540302.631578947
4187,23650000,170,1,13.0,5,18766793.31306991,13471150.0
4188,2650000,75,3,0.0,4,3987994.5945945946,2523333.333333333
4189,3200000,100,28,3.0,3,5478152.10355987,4243333.333333333
4190,9600000,80,0,6.0,3,18766793.31306991,13471150.0
4192,4250000,90,3,3.0,3,6559200.238609113,4249098.484848484
4193,7200000,140,27,4.0,4,18766793.31306991,11202090.0
4194,4500000,95,28,3.0,3,11259699.059561128,10905714.285714284
4196,4050000,110,5,2.0,3,8397364.775800712,6044116.504854369
4197,3650000,135,16,3.0,4,3987994.5945945946,4813397.435897436
4198,15900000,90,35,0.5,4,18840772.21851852,28713409.09090909
4200,4650000,90,14,2.0,3,5478152.10355987,6870747.126436782
4201,3200000,65,26,0.5,2,11259699.059561128,5508072.727272728
4203,3550000,75,0,2.0,3,5297494.923337092,5071440.677966102
4204,10000000,120,24,1.0,3,8508896.555172414,8019684.777173913
4205,17000000,125,0,2.0,4,18766793.31306991,15964615.384615384
4206,2800000,110,5,11.0,4,2769582.4657534244,3419787.8484848486
4207,19600000,149,5,24.0,3,20111125.68306011,20641170.21276596
4208,7100000,105,2,4.0,3,5749051.802409639,4985416.666666667
4209,6300000,120,0,3.0,3,9683732.91925466,5653750.0
4211,12900000,130,30,3.0,3,8397364.775800712,19534782.60869565
4212,8500000,100,0,2.0,3,7962301.739130435,7841056.338028169
4213,3450000,110,15,2.0,3,4970295.55403868,6057293.357798165
4214,3600000,90,40,2.0,3,4254808.612440191,5954714.285714285
4215,3000000,85,34,3.0,3,4254808.612440191,4063465.3465346536
4216,4400000,81,7,3.0,3,8397364.775800712,3658924.0506329113
4217,11500000,85,0,2.0,3,18766793.31306991,17185621.62162162
4218,8500000,150,25,3.0,4,11981780.303030305,9614705.88235294
4219,3500000,65,10,-1.0,2,7340518.640677966,6367307.692307692
4220,2800000,110,8,0.0,3,5749051.802409639,6994235.820895523
4221,17200000,185,23,14.0,5,11259699.059561128,12699506.787330316
4223,5750000,90,5,1.0,3,5848907.837837838,6476000.0
4225,8450000,85,0,2.0,3,7962301.739130435,8532544.827586208
4226,5500000,85,12,0.5,3,8508896.555172414,6369733.333333333
4227,13750000,80,9,2.0,4,18766793.31306991,17185621.62162162
4228,5000000,85,39,0.5,3,11259699.059561128,6835168.0
4229,4900000,120,29,3.0,4,11259699.059561128,7152941.176470588
4230,8000000,170,5,12.0,5,11259699.059561128,7152941.176470588
4231,4750000,100,11,3.0,3,10309326.797385622,7675000.0
4232,7400000,96,7,3.0,2,7001761.904761905,6910181.818181818
4233,2500000,70,40,2.0,2,8397364.775800712,4045456.5217391294
4236,38560000,221,16,1.0,5,18840772.21851852,32659285.71428572
4238,3250000,96,2,5.0,3,3987994.5945945946,3168571.4285714286
4239,5250000,200,16,4.0,5,8397364.775800712,3658924.0506329113
4241,4000000,110,35,2.0,3,4254808.612440191,4012796.610169492
4242,5000000,75,11,2.0,2,8397364.775800712,6745350.0
4243,4500000,90,26,8.0,3,8397364.775800712,10199500.0
4244,6000000,85,10,6.0,2,5749051.802409639,4985416.666666667
4246,4250000,85,5,2.0,3,8508896.555172414,6251428.571428572
4247,14950000,120,8,9.0,4,18766793.31306991,21011136.363636363
4248,7400000,100,18,3.0,3,7340518.640677966,7957142.857142857
4249,14499000,220,0,7.0,6,11259699.059561128,15854853.658536583
4250,22000000,230,1,6.0,5,16676002.409638554,11906086.956521738
4251,7500000,120,5,2.0,3,7754128.301886792,10331944.444444444
4253,6000000,130,2,2.0,4,5297494.923337092,4438371.212121212
4254,4875000,135,2,0.0,3,4970295.55403868,5269146.553333334
4256,9150000,145,0,5.0,4,7962301.739130435,7948520.599250936
4257,2550000,95,26,0.5,3,4547597.902097902,5775235.294117647
4258,10500000,275,21,13.0,7,4970295.55403868,6057293.357798165
4259,5500000,80,0,7.0,3,7736038.525691699,9859833.333333334
4260,4290000,90,6,3.0,3,6559200.238609113,4249098.484848484
4261,19950000,120,26,4.0,4,18766793.31306991,28832777.777777776
4263,2100000,75,1,17.0,2,2769582.4657534244,3258842.1052631577
4264,2100000,120,25,-3.0,4,5297494.923337092,4409719.101123596
4265,9500000,130,35,0.5,4,8397364.775800712,6994235.820895523
4266,7000000,180,0,12.0,6,9683732.91925466,6419555.555555556
4268,9400000,145,12,3.0,4,7962301.739130435,9986363.636363637
4269,8000000,120,34,1.0,3,11259699.059561128,9708000.0
4270,7400000,210,20,12.0,6,11259699.059561128,7152941.176470588
4271,1650000,75,27,0.5,2,5749051.802409639,4267661.957746479
4273,39950000,240,22,1.0,5,18766793.31306991,21011136.363636363
4274,21750000,145,5,5.0,4,18766793.31306991,17185621.62162162
4275,4950000,85,6,3.0,3,7437451.282051282,5497857.142857143
4276,4100000,120,5,3.0,3,5749051.802409639,5340163.265306123
4277,18750000,160,32,3.0,4,18766793.31306991,21011136.363636363
4278,3500000,100,0,0.5,3,5478152.10355987,4811928.571428572
4279,3749000,82,0,0.5,3,8011979.826612903,4992842.052631579
4280,4650000,125,0,1.0,4,4818179.634730539,4718000.0
4281,4000000,150,6,-0.5,4,4059405.832635984,4000000.0
4282,7750000,165,0,2.0,5,7754128.301886792,6326666.666666667
4284,8300000,122,4,1.0,4,7736038.525691699,7842480.0
4285,4225000,75,11,0.5,3,5297494.923337092,9753616.279069768
4286,6500000,90,25,7.0,3,18840772.21851852,13705463.157894736
4287,3490000,110,6,2.0,4,2769582.4657534244,2699238.095238095
4288,6350000,90,4,5.0,3,9683732.91925466,5653750.0
4289,4500000,90,0,0.5,3,5749051.802409639,5026250.0
4290,5750000,120,0,4.0,4,8011979.826612903,4676827.383297645
4291,4950000,220,0,12.0,6,3884916.195530726,3810000.0
4292,7200000,95,16,0.5,4,7962301.739130435,8317777.777777778
4293,5500000,145,27,12.0,4,4970295.55403868,6134857.085714285
4294,19350000,130,6,3.0,4,18766793.31306991,17185621.62162162
4295,4500000,114,0,3.0,3,4818179.634730539,3660818.1818181816
4297,6500000,110,20,5.0,4,9683732.91925466,13551096.774193548
4299,6250000,165,5,8.0,4,4970295.55403868,6057293.357798165
4300,4850000,110,5,3.0,4,8011979.826612903,4992842.052631579
4301,5700000,155,0,4.0,6,4818179.634730539,6835168.0
4304,17950000,120,10,1.0,4,18766793.31306991,21011136.363636363
4305,2875000,70,5,-1.0,3,7962301.739130435,5226666.666666667
4306,7650000,110,3,3.0,3,5749051.802409639,4985416.666666667
4308,6500000,160,0,4.0,5,4138010.251282051,3517362.068965517
4309,5900000,150,8,4.0,5,5297494.923337092,5548285.685714286
4310,8850000,240,30,5.0,7,7962301.739130435,7948520.599250936
