price,m2,age,floor,district,neighbor,total_room
3550000,80,0,1.0,Kağıthane,Hürriyet Mah.,3
11499000,180,26,1.0,Şişli,Bozkurt Mah.,5
6000000,85,0,3.0,Büyükçekmece,Atatürk Mah.,3
3100000,80,9,0.0,Kağıthane,Sultan Selim Mah.,3
7200000,110,7,0.0,Şişli,Merkez Mah.,3
5250000,95,35,0.0,Güngören,Abdurrahman Nafiz Gürman Mah.,3
7300000,80,0,1.0,Maltepe,Küçükyalı Mah.,3
27500000,160,5,9.0,Kadıköy,Erenköy Mah.,4
9350000,102,5,2.0,Maltepe,İdealtepe Mah.,3
5850000,145,4,3.0,Kağıthane,Sultan Selim Mah.,4
5450000,90,5,8.0,Maltepe,Zümrütevler Mah.,3
11750000,150,15,3.0,Maltepe,Altıntepe Mah.,4
9350000,100,4,2.0,Maltepe,İdealtepe Mah.,3
6650000,80,5,0.0,Maltepe,Altıntepe Mah.,3
5250000,85,6,0.5,Maltepe,Bağlarbaşı Mah.,2
6250000,95,1,2.0,Bayrampaşa,Altıntepsi Mah.,3
2725000,101,10,3.0,Esenyurt,Yeşilkent Mah.,3
27000000,130,5,9.0,Beşiktaş,Vişnezade Mah.,3
1450000,75,5,4.0,Esenyurt,Cumhuriyet Mah.,2
6750000,125,0,4.0,Küçükçekmece,Cennet Mah.,4
1950000,85,28,6.0,Bahçelievler,Siyavuşpaşa Mah.,3
12300000,85,0,8.0,Kadıköy,Erenköy Mah.,3
13950000,83,0,7.0,Kadıköy,Göztepe Mah.,3
4040000,120,0,0.5,Silivri,Yeni Mah.,3
9680000,160,23,2.0,Maltepe,Küçükyalı Mah.,4
21500000,160,30,0.0,Sarıyer,Tarabya Mah.,4
16950000,120,17,0.5,Kadıköy,Erenköy Mah.,4
3975000,75,40,3.0,Beşiktaş,Abbasağa Mah.,3
2480000,85,10,0.5,Avcılar,Cihangir Mah.,3
5600000,60,45,1.0,Beyoğlu,Katip Mustafa Çelebi Mah.,2
2750000,85,50,4.0,Fatih,Koca Mustafapaşa Mah.,3
3580000,95,12,3.0,Esenyurt,Turgut Özal Mah.,3
4850000,150,45,1.0,Fatih,Silivrikapı Mah.,5
3650000,90,34,6.0,Kağıthane,Emniyet Evleri Mah.,3
4050000,135,0,3.0,Sultanbeyli,Ahmet Yesevi Mah.,4
3700000,125,5,0.5,Kartal,Hürriyet Mah.,4
3000000,95,30,3.0,Esenler,Kemer Mah.,3
7700000,115,13,0.0,Ataşehir,Küçükbakkalköy Mah.,4
3150000,65,31,2.0,Üsküdar,İcadiye Mah.,3
18900000,196,11,4.0,Eyüpsultan,Göktürk Merkez Mah.,5
13250000,180,30,0.0,Bakırköy,Şenlikköy Mah.,5
16750000,200,0,4.0,Maltepe,Altıntepe Mah.,5
14200000,110,2,0.0,Kadıköy,Fenerbahçe Mah.,3
8000000,130,25,-1.0,Beşiktaş,Abbasağa Mah.,4
12900000,145,0,4.0,Maltepe,İdealtepe Mah.,5
6200000,160,0,5.0,Avcılar,Mustafa Kemal Paşa Mah.,5
8750000,90,4,3.0,Maltepe,Altıntepe Mah.,3
6750000,90,0,0.0,Maltepe,Çınar Mah.,3
12700000,90,15,1.0,Eyüpsultan,Göktürk Merkez Mah.,2
1679000,89,7,3.0,Beylikdüzü,Cumhuriyet Mah.,2
7700000,90,12,3.0,Maltepe,Altıntepe Mah.,3
12000000,150,0,4.0,Maltepe,Küçükyalı Mah.,4
